system_size,replication_degree,key_range,lat_us_avg,lat_us_p50,lat_us_p90,lat_us_p99,election_lat,thru_avg_ops_s
10,1,1000,200.97,187.904,261.418,334.732,138.207,4975.23
10,1,2000,190.847,186.125,259.809,311.67,137.596,5239.15
10,1,4000,199.967,187.447,262.44,328.755,138.057,5000.22
10,1,8000,209.412,189.102,263.253,331.364,140.77,4774.68
10,1,16000,213.605,193.274,263.979,345.343,135.345,4680.99
10,1,32000,190.289,185.535,258.238,324.06,132.679,5254.48
10,1,64000,202.817,187.796,261.892,336.474,140.973,4929.95
10,1,128000,195.787,186.343,260.028,331.224,136.065,5106.86
10,2,1000,190.408,185.868,259.082,323.684,116.575,5251
10,2,2000,197.938,186.925,259.971,323.296,141.331,5051.47
10,2,4000,197.282,187.229,260.454,320.742,138.857,5068.12
10,2,8000,207.867,189.758,264.758,332.036,136.857,4810.13
10,2,16000,190.976,186.196,258.323,309.141,136.367,5235.5
10,2,32000,199.13,186.212,260.507,335.827,132.481,5021.26
10,2,64000,198.803,186.914,261.12,323.572,139.976,5029.49
10,2,128000,197.734,187.07,260.106,329.716,132.801,5056.66
10,3,1000,193.094,186.377,260.706,321.453,136.074,5178.14
10,3,2000,199.756,187.812,262.416,330.655,134.446,5005.52
10,3,4000,196.529,186.882,261.727,320.516,135.387,5087.65
10,3,8000,202.026,187.848,262.586,328.452,134.966,4949.25
10,3,16000,198.391,186.503,260.966,327.35,136.648,5039.95
10,3,32000,204.798,187.628,261.661,324.003,131.155,4882.3
10,3,64000,196.243,186.656,260.623,322.724,129.806,5095.06
